REPORTER,QUANTITY_IN_100KG,country,price_p_100kg
GREECE,7.0,Slovenia,76206.42857142857
MALTA,4.0,Spain,69221.0
POLAND,3.0,Sri Lanka,58413.666666666664
SLOVENIA,2.0,Bulgaria,43122.5
AUSTRIA,134.0,Denmark,38205.701492537315
HUNGARY,1.0,Malaysia,28714.0
SLOVENIA,3.0,United States,27055.666666666668
PORTUGAL,7.0,South Korea,22594.0
FINLAND,45.0,Hong Kong,20212.088888888888
SWEDEN,3.0,Malaysia,18999.0
SLOVENIA,1.0,Romania,18555.0
AUSTRIA,69.0,India,17793.028985507248
LUXEMBOURG,17.0,Hong Kong,17633.41176470588
PORTUGAL,9.0,Malaysia,16899.88888888889
FINLAND,18.0,Hungary,16691.444444444445
GREECE,446.0,Bulgaria,16622.029147982063
LATVIA,80.0,Czech Republic,16393.2125
ITALY,502.0,Hong Kong,15982.830677290836
CROATIA,5.0,United States,15902.6
GERMANY (incl DD from 1991),68.0,Greece,15557.411764705883
AUSTRIA,3.0,Moldova,15215.0
SLOVENIA,5.0,India,15158.0
ITALY,35.0,Luxembourg,14847.8
ESTONIA,4.0,Hong Kong,14772.5
SPAIN,66.0,South Korea,14455.287878787878
CYPRUS,2.0,Hong Kong,13775.0
ITALY,2.0,Latvia,13719.5
SPAIN,399.0,Hong Kong,13559.441102756893
MALTA,52.0,Hong Kong,13407.557692307691
SLOVAKIA,12.0,Sweden,13406.583333333334
